Block,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13
0,29.619729,-1.249024,-0.693127,-0.378351,-0.278353,0.183978,0.104046,0.229471,0.289334,0.172732,0.000013,-0.172729,-0.289342
1,26.415040,-1.136220,-1.167347,-0.847802,0.478079,0.000925,-0.415229,0.218149,-0.088013,0.315420,0.000011,-0.315418,0.088006
2,27.429147,-1.250772,-1.041473,-0.241724,-0.456030,-0.498132,-0.482340,0.447834,-0.038570,0.229445,0.000011,-0.229442,0.038562
3,29.789079,-1.579854,-1.106242,0.179835,0.309000,0.186090,-0.377524,0.253801,-0.096739,0.286240,0.000012,-0.286238,0.096730
4,28.332435,-1.546525,-1.040011,0.288787,-0.277163,-0.070070,-0.489774,0.171689,-0.271213,-0.178605,0.000012,0.178608,0.271205
5,32.223365,-1.786180,-1.287464,-0.088253,-0.394646,0.085002,0.050113,0.201323,-0.575722,-0.228754,0.000014,0.228758,0.575713
6,31.584083,-1.895367,-1.205973,0.440187,-0.122460,0.079466,-0.479574,0.182264,-0.086190,0.068079,0.000013,-0.068076,0.086180
7,32.460994,-1.638245,-1.199241,0.019760,-0.113481,0.070524,-0.420319,0.109720,-0.026168,0.141530,0.000014,-0.141527,0.026159
8,31.609249,-2.026131,-1.519923,-0.231441,-0.014370,0.210371,-0.225830,0.128450,0.020164,0.165628,0.000014,-0.165625,-0.020174
9,31.459367,-1.778013,-1.401696,-0.361978,-0.292069,-0.061635,-0.489786,-0.098055,0.050528,0.158047,0.000014,-0.158043,-0.050537
10,31.193902,-1.714099,-1.322012,-0.149553,-0.077345,0.009565,-0.300817,0.337521,0.009965,0.338879,0.000013,-0.338875,-0.009974
11,31.504922,-1.265587,-1.100274,-0.452292,0.359418,-0.045781,-0.512027,0.168919,0.049458,0.399890,0.000013,-0.399887,-0.049467
12,30.808906,-1.110937,-0.996978,-0.398261,-0.066490,-0.149581,-0.465797,0.049769,-0.045526,-0.018409,0.000013,0.018413,0.045517
13,31.043712,-1.504368,-1.318195,-0.590646,0.095927,-0.087777,-0.437292,0.304345,0.187545,0.361126,0.000013,-0.361123,-0.187554
14,30.694095,-1.260305,-1.262269,-0.897783,-0.109870,-0.226390,-0.460270,0.075798,0.153524,0.307087,0.000013,-0.307083,-0.153533
15,31.807121,-1.466675,-1.228978,-0.310426,-0.002393,-0.110101,-0.376119,0.193043,-0.284232,0.188930,0.000013,-0.188927,0.284223
16,30.594097,-0.798808,-0.716967,-0.156974,-0.096310,-0.188760,-0.325213,0.260707,-0.050367,0.284222,0.000012,-0.284218,0.050359
17,30.173477,-0.795325,-0.761800,-0.259376,-0.062548,-0.277454,-0.362553,0.360745,-0.043728,0.278484,0.000012,-0.278481,0.043719
18,31.145433,-1.565228,-1.304274,-0.336722,-0.140326,-0.155186,-0.361718,0.366109,-0.044691,0.365694,0.000013,-0.365691,0.044682
19,31.596605,-1.045606,-0.806467,-0.047067,-0.237318,0.126096,-0.168850,-0.067978,-0.209068,-0.169882,0.000013,0.169885,0.209059
20,31.975534,-1.628865,-1.092769,0.196578,-0.133121,0.205110,-0.323020,0.123256,0.372924,0.204199,0.000014,-0.204196,-0.372933
21,31.113094,-1.050800,-0.927075,-0.243650,-0.225445,-0.171847,-0.348008,0.162680,-0.230955,0.190351,0.000013,-0.190348,0.230946
22,31.858360,-1.391033,-1.118552,-0.280841,-0.452542,0.030512,-0.136041,-0.112339,-0.159495,-0.037567,0.000014,0.037570,0.159486
23,31.322692,-2.024157,-1.581753,-0.276188,-0.367630,-0.089496,-0.356576,0.296224,-0.139632,0.181984,0.000013,-0.181980,0.139623
24,29.934289,-1.541722,-1.164973,-0.029739,-0.172761,0.152643,-0.034344,0.316170,-0.074054,0.316176,0.000013,-0.316173,0.074045
25,30.444829,-1.131194,-0.824958,0.075013,0.235049,0.256245,-0.327923,-0.001330,0.011943,0.117791,0.000013,-0.117788,-0.011952
26,29.701305,-1.483246,-1.113724,0.005227,-0.381718,-0.131923,-0.322730,0.220574,-0.065252,0.223810,0.000012,-0.223807,0.065244
27,29.296459,-1.240019,-0.838074,0.175458,-0.696733,-0.363035,-0.579484,-0.184954,-0.125909,0.307026,0.000012,-0.307023,0.125901
28,31.054166,-1.899313,-1.411978,-0.027983,-0.192550,0.018024,-0.361877,0.204942,-0.179262,0.315437,0.000013,-0.315434,0.179253
29,29.590866,-1.324193,-1.233158,-0.651685,-0.000648,-0.008702,-0.294278,0.231208,-0.059041,-0.013831,0.000013,0.013834,0.059032
30,27.946195,-1.006019,-0.877883,-0.400758,0.029657,0.148446,-0.295603,-0.101559,0.258748,0.366526,0.000012,-0.366523,-0.258756
31,28.582414,-1.102782,-0.856369,-0.097644,-0.036906,0.122971,-0.351668,-0.164972,0.069824,0.217245,0.000012,-0.217242,-0.069832
32,27.847770,-1.941308,-1.465875,-0.107765,-0.056342,0.102704,-0.224486,0.356671,-0.097464,0.331819,0.000012,-0.331817,0.097456
33,28.907720,-1.797226,-1.407757,-0.301349,0.175997,0.204445,-0.316522,0.233197,-0.013249,0.119839,0.000012,-0.119836,0.013240
34,28.476203,-1.288028,-1.213382,-0.722852,0.200881,0.193115,-0.131256,0.139943,-0.023061,0.131069,0.000012,-0.131066,0.023052
35,27.071786,-0.921224,-1.117600,-1.226723,-0.039005,-0.294572,-0.503149,-0.103703,0.103467,0.391828,0.000011,-0.391825,-0.103474
36,26.820224,-0.937949,-1.004754,-0.764505,0.046187,-0.235387,-0.589036,-0.113603,-0.131384,0.227520,0.000011,-0.227517,0.131376
37,26.973812,-1.736714,-1.343201,-0.291600,-0.354188,0.116522,-0.133700,-0.029848,-0.138915,0.224056,0.000012,-0.224054,0.138908
38,29.264839,-1.790327,-1.231599,0.063801,-0.411504,0.318479,-0.210477,-0.339411,-0.023305,0.132877,0.000013,-0.132875,0.023297
39,28.511020,-1.341608,-0.997241,0.030745,0.066488,0.086214,-0.315204,0.375124,0.117086,0.172495,0.000012,-0.172493,-0.117095
40,27.770132,-1.158995,-0.818700,0.188123,-0.469837,-0.169642,-0.312106,0.090610,-0.169285,0.353960,0.000011,-0.353957,0.169277
41,27.970483,-1.233311,-0.967898,-0.148944,0.251151,0.300348,-0.148961,0.018898,-0.036575,0.356494,0.000012,-0.356491,0.036567
42,27.729394,-1.543220,-1.313459,-0.516023,0.196046,-0.124735,-0.563564,0.149899,0.016446,0.337647,0.000012,-0.337643,-0.016455
43,27.642770,-1.025817,-1.011721,-0.649560,-0.003980,0.021577,-0.266754,-0.137610,-0.153966,0.080521,0.000012,-0.080518,0.153958
44,27.335729,-0.855499,-0.898725,-0.611935,-0.006063,-0.113646,-0.345148,-0.060303,-0.132810,0.240730,0.000011,-0.240727,0.132802
45,29.965801,-1.228934,-0.875694,0.060384,-0.582733,0.029041,-0.084473,-0.057533,-0.188457,0.204933,0.000013,-0.204930,0.188449
46,30.770133,-1.423965,-0.968486,0.252011,-0.072398,0.257688,-0.208352,0.021469,-0.196809,0.026493,0.000013,-0.026490,0.196800
47,28.188350,-0.910943,-0.847714,-0.310597,-0.098369,-0.080516,-0.226880,0.148436,-0.225268,0.182121,0.000012,-0.182118,0.225260
48,29.219982,-1.433150,-0.939888,0.306551,-0.324825,0.142299,-0.208019,-0.046500,-0.026624,0.216043,0.000012,-0.216040,0.026616
49,29.289634,-1.742255,-1.375415,-0.308678,-0.083923,-0.078532,-0.599314,0.000329,-0.087490,0.167325,0.000012,-0.167322,0.087481
