Block,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13
0,28.784172,-0.973812,-0.221353,-0.130837,-0.378122,0.238702,0.269753,0.026556,0.215911,0.116827,0.000013,-0.116825,-0.215918
1,24.969499,-0.739444,-0.469789,0.331233,0.355745,0.119595,-0.357778,0.068228,0.067139,0.399088,0.000010,-0.399085,-0.067146
2,25.249519,-0.324581,-0.206431,0.169139,-0.279233,-0.119336,-0.306966,-0.176362,0.149761,0.197093,0.000010,-0.197090,-0.149768
3,24.702085,-0.470984,-0.253743,0.461714,0.106606,0.148620,-0.131404,0.097140,-0.121703,0.271379,0.000010,-0.271376,0.121696
4,25.335058,-0.390902,-0.247870,0.302282,-0.138864,-0.038805,-0.205400,0.115914,-0.001520,0.203352,0.000010,-0.203349,0.001513
5,25.017902,-0.303465,-0.304618,-0.110543,-0.247009,0.006996,-0.039048,-0.000837,0.267015,0.218934,0.000010,-0.218931,-0.267022
6,26.041917,-0.611330,-0.449544,0.177454,0.007575,-0.218404,-0.498217,0.070768,-0.016824,0.452695,0.000010,-0.452692,0.016817
7,25.350423,-0.688325,-0.487537,0.260501,0.009560,-0.026835,-0.331945,0.071388,-0.220342,0.095345,0.000010,-0.095342,0.220335
8,25.215778,-0.995878,-0.703489,0.123363,0.223036,0.120977,-0.434044,-0.084045,0.025067,0.309063,0.000011,-0.309061,-0.025074
9,25.449047,-0.881958,-0.641056,0.133169,-0.058523,-0.045136,-0.415442,-0.043204,-0.045081,0.356266,0.000010,-0.356263,0.045074
10,24.740522,-0.741729,-0.571023,0.028738,0.383177,0.239218,-0.350396,-0.064316,0.003506,0.123463,0.000010,-0.123460,-0.003513
11,24.807720,-0.771429,-0.475513,0.254365,-0.338302,0.262087,-0.000136,-0.341030,-0.079500,0.020599,0.000011,-0.020597,0.079493
