Block,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13
0,29.653575,-1.047309,-0.403522,0.105900,-0.244833,0.249419,0.173796,0.027349,0.239959,0.181133,0.000013,-0.181130,-0.239967
1,27.278450,-0.535953,-0.411748,-0.197060,-0.575542,0.115993,-0.016965,-0.532216,0.224309,0.255565,0.000012,-0.255563,-0.224316
2,27.105318,-0.854106,-0.328766,0.703948,-0.591731,0.238921,0.177692,0.062949,-0.203251,-0.132285,0.000011,0.132287,0.203243
3,28.429870,-0.727697,-0.511347,0.205423,-0.328357,-0.092483,-0.219411,0.106689,-0.162547,0.075870,0.000012,-0.075867,0.162539
4,28.665851,-0.935986,-0.698839,0.083170,-0.508146,-0.253210,-0.309346,0.136084,-0.267842,0.068579,0.000012,-0.068576,0.267833
5,27.220212,-1.044949,-0.710216,0.180512,-0.574293,-0.075028,-0.318580,-0.172791,0.068126,0.189457,0.000011,-0.189454,-0.068134
6,28.907009,-1.143032,-0.480706,0.911446,-0.788301,0.115057,-0.014547,0.206933,-0.026039,-0.108709,0.000012,0.108711,0.026031
7,27.503908,-0.647881,-0.518052,-0.091286,-0.477223,0.133795,0.066444,-0.195298,0.195367,-0.007353,0.000012,0.007355,-0.195375
8,28.014682,-0.636019,-0.545513,-0.116142,0.057529,0.232520,0.060125,-0.045008,-0.327388,-0.029992,0.000012,0.029995,0.327380
9,28.088426,-0.961904,-0.537709,0.498494,-0.547147,0.097142,0.037553,0.384250,0.155045,0.032698,0.000012,-0.032696,-0.155054
10,27.973665,-1.266832,-0.889093,0.014613,-1.000159,-0.218138,-0.389209,-0.453120,-0.012959,0.058328,0.000012,-0.058325,0.012951
11,27.758155,-0.520011,-0.561707,-0.437001,-0.386828,-0.060648,-0.051274,-0.089006,0.193645,0.233347,0.000012,-0.233345,-0.193653
12,32.408397,-1.306797,-0.767445,0.400534,-0.911886,0.176347,0.057841,-0.147164,0.426913,0.194405,0.000014,-0.194403,-0.426922
13,30.036476,-1.575694,-0.898984,0.464543,-0.392020,0.683435,0.369713,-0.212292,0.030284,-0.061746,0.000013,0.061749,-0.030292
14,29.422143,-1.205261,-0.942896,-0.178174,-0.493301,0.003975,-0.283589,-0.233883,0.153174,0.184735,0.000013,-0.184733,-0.153183
15,29.584907,-0.871728,-0.830262,-0.498042,-0.552554,-0.138900,-0.099058,0.028245,-0.016585,0.046353,0.000013,-0.046351,0.016577
16,28.244979,-0.759550,-0.588383,-0.070843,-0.291833,0.154408,-0.075664,-0.331395,0.017786,0.205470,0.000012,-0.205467,-0.017794
17,28.844554,-0.488185,-0.647053,-0.766627,-0.542651,-0.285129,-0.268159,-0.260187,0.120544,0.111536,0.000012,-0.111534,-0.120552
18,28.177787,-0.687535,-0.429553,0.009093,-1.100744,-0.158859,0.032267,-0.175748,0.405377,-0.058756,0.000012,0.058758,-0.405384
19,29.718505,-1.091218,-0.544139,0.695039,-0.714174,0.102965,-0.199208,-0.156614,0.206150,-0.013508,0.000013,0.013511,-0.206158
20,30.785634,-1.650436,-1.070994,0.221019,-0.637045,0.237236,0.083127,-0.051694,-0.168740,0.106854,0.000013,-0.106851,0.168731
21,28.761941,-1.219640,-0.486172,0.922826,-0.685446,0.609316,0.183713,-0.573951,-0.042437,-0.263719,0.000013,0.263721,0.042429
22,28.784452,-0.932450,-0.462925,0.496004,-0.631072,0.351624,0.138046,-0.377089,0.008718,-0.091724,0.000013,0.091726,-0.008725
23,28.684476,-1.127496,-0.716459,0.130570,-0.850643,0.076667,0.042592,-0.179380,0.124983,0.317895,0.000012,-0.317893,-0.124990
24,28.610374,-0.716030,-0.378469,0.325636,-0.726115,0.189656,0.150475,-0.155495,0.185004,0.032022,0.000012,-0.032020,-0.185012
25,28.632234,-0.883813,-0.577507,0.122139,-0.769937,0.057812,-0.052397,-0.353746,0.076464,-0.014023,0.000012,0.014025,-0.076472
26,28.250873,-0.766963,-0.465105,-0.060735,-1.057898,0.196789,0.319045,-0.489759,0.254888,0.096590,0.000012,-0.096587,-0.254895
27,27.787420,-0.950679,-0.586483,0.304109,-0.262727,0.488720,0.197086,-0.033036,0.258744,0.202307,0.000012,-0.202305,-0.258752
28,28.213226,-0.774893,-0.407358,0.494466,-0.216529,0.246851,0.013924,-0.078589,-0.264238,-0.224809,0.000012,0.224812,0.264230
29,29.162628,-1.088411,-0.299893,1.186103,-0.865919,0.428943,0.137531,-0.224086,0.011354,-0.172389,0.000013,0.172392,-0.011362
30,28.454685,-1.137479,-0.558470,0.584970,-0.939146,-0.047815,-0.000403,0.271040,-0.057265,-0.256216,0.000012,0.256219,0.057257
31,27.748941,-0.656648,-0.354531,0.147437,-0.971875,-0.145063,0.131175,0.096654,0.065154,-0.075339,0.000012,0.075341,-0.065161
32,27.781343,-0.746885,-0.360820,0.458595,-0.765685,0.015719,-0.075801,-0.182779,0.031688,0.060006,0.000012,-0.060004,-0.031695
33,27.840208,-1.064647,-0.713484,0.139424,-0.706067,0.054686,-0.066239,-0.153367,0.010926,0.174629,0.000012,-0.174627,-0.010934
34,27.858465,-1.022126,-0.700531,0.129014,-0.528521,0.152373,-0.008416,-0.034837,0.029448,-0.142458,0.000012,0.142461,-0.029456
35,28.615764,-0.928879,-0.681903,-0.002632,-0.280404,0.261707,0.018020,-0.183191,-0.037196,-0.045803,0.000012,0.045806,0.037188
36,30.056259,-1.240432,-0.603005,0.734529,-0.795407,0.154166,-0.074142,-0.155247,-0.019609,0.073151,0.000013,-0.073148,0.019601
37,29.302368,-0.620321,-0.379295,0.173751,-0.720433,-0.014091,0.026032,-0.078633,0.170200,0.082791,0.000012,-0.082788,-0.170208
38,27.857599,-0.906690,-0.655666,0.113276,-0.204715,0.215837,-0.136732,-0.050507,0.111819,-0.082365,0.000012,0.082368,-0.111827
39,28.829086,-0.675473,-0.566556,-0.157256,-0.393335,0.113844,-0.029074,-0.155270,-0.064048,-0.263778,0.000012,0.263781,0.064040
40,28.427801,-0.178287,-0.223217,-0.204698,-0.461457,-0.093887,-0.036980,-0.222856,0.001752,0.003230,0.000012,-0.003227,-0.001759
41,28.504955,-0.385350,-0.333277,-0.412209,-0.761458,-0.005877,0.409024,-0.028388,0.003005,-0.177131,0.000012,0.177134,-0.003013
42,28.668581,-0.687844,-0.417527,0.087987,-1.000258,-0.270134,-0.075752,-0.154452,-0.114824,-0.184561,0.000012,0.184564,0.114816
43,28.260818,-0.772118,-0.626494,-0.412355,-0.811012,-0.010207,0.231816,-0.246573,-0.162757,0.163927,0.000012,-0.163924,0.162750
44,28.957618,-0.610332,-0.449915,-0.175394,-0.642896,0.101415,0.239992,-0.215469,-0.114789,0.086444,0.000012,-0.086441,0.114781
45,29.712947,-0.606681,-0.581317,-0.379153,-0.595294,-0.029225,0.045346,-0.043549,0.166137,0.008348,0.000013,-0.008345,-0.166146
46,30.277425,-0.710249,-0.346901,0.393739,-0.651402,0.288529,0.224227,-0.215065,0.155418,-0.039095,0.000013,0.039097,-0.155426
47,29.711124,-0.126338,-0.073453,0.024487,-0.601354,-0.258725,-0.070365,0.001111,0.006303,-0.068753,0.000012,0.068756,-0.006311
48,29.127376,-1.097572,-0.904211,-0.278733,-0.659813,-0.087042,-0.144249,-0.121300,0.085267,0.065561,0.000012,-0.065558,-0.085275
49,29.737501,-0.820431,-0.491783,0.291587,-0.625107,-0.050942,0.040359,0.255778,-0.168199,-0.049605,0.000012,0.049609,0.168191
