Block,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13
0,28.081060,-1.814598,-0.038708,-0.731735,-0.414925,0.337057,0.456499,0.033920,0.185039,0.211771,0.000014,-0.211768,-0.185047
1,23.878406,-0.436845,-0.186972,0.197187,-0.827094,-0.339325,-0.000881,0.381607,0.181354,0.048281,0.000010,-0.048279,-0.181361
2,23.730415,0.002363,-0.074577,-0.160449,-0.410489,-0.110026,-0.012904,-0.100068,0.153577,-0.090572,0.000010,0.090575,-0.153584
3,24.573225,-0.496787,-0.441053,-0.117901,-0.389038,-0.008055,-0.012776,0.006581,0.133563,0.113793,0.000010,-0.113790,-0.133569
4,24.385248,-0.460719,-0.306539,0.323605,-0.041878,-0.113828,-0.282147,0.200215,-0.294085,0.099415,0.000010,-0.099413,0.294078
5,24.334350,-0.623435,-0.420612,0.134331,-0.564664,-0.062637,-0.120552,-0.007095,0.090306,0.072612,0.000010,-0.072610,-0.090312
6,23.925704,-0.019387,-0.091232,-0.067130,-0.280601,-0.292662,-0.153195,0.147747,-0.082483,0.091896,0.000010,-0.091893,0.082476
7,23.447719,-0.832184,-0.554713,0.029256,-0.683469,0.056281,0.355662,0.476524,0.385866,0.239748,0.000010,-0.239746,-0.385873
8,23.451120,-0.250522,-0.151358,0.053038,-0.529105,-0.184077,0.167776,0.422501,0.109482,0.060270,0.000010,-0.060267,-0.109489
9,24.381889,-0.367523,-0.328495,-0.044271,-0.389638,-0.290170,-0.086148,0.326122,-0.120702,0.041975,0.000010,-0.041972,0.120696
10,24.399259,-0.834431,-0.582772,-0.135650,-0.792003,-0.187445,0.187308,0.344306,-0.081379,-0.289508,0.000010,0.289511,0.081372
11,24.071895,-0.374074,-0.487064,-0.364824,-0.133772,-0.318804,-0.250970,0.271162,0.000894,0.358890,0.000010,-0.358887,-0.000901
12,23.745306,-0.495181,-0.175645,0.611866,-0.270469,-0.123214,-0.193302,0.384837,0.040382,0.038465,0.000010,-0.038463,-0.040389
13,24.160003,-0.272772,-0.086628,0.442392,-0.222815,0.017004,-0.057543,0.128279,-0.104466,-0.028429,0.000010,0.028431,0.104458
14,23.903503,-0.181607,-0.112295,0.099832,-0.396197,0.133639,0.153041,-0.017035,0.255838,0.040363,0.000010,-0.040361,-0.255844
15,23.857648,0.002299,0.023401,0.175412,-0.294029,-0.132690,-0.122490,-0.020348,-0.043183,-0.007606,0.000010,0.007609,0.043176
16,24.929195,-0.142525,-0.109170,0.100752,-0.326921,-0.341320,-0.220976,0.388931,0.067276,0.074586,0.000010,-0.074583,-0.067283
17,24.015090,-0.244934,-0.075782,0.225978,-0.604023,-0.222561,0.018110,0.227697,0.094422,-0.028416,0.000010,0.028419,-0.094428
18,23.959339,-0.278558,-0.068149,0.381736,-0.585463,-0.341379,-0.206924,0.213131,-0.069381,0.099241,0.000010,-0.099238,0.069374
19,24.939413,-0.393943,-0.367016,-0.255181,-0.652770,-0.175046,0.049275,-0.093692,-0.014482,-0.054022,0.000011,0.054025,0.014475
20,24.639574,-0.518532,-0.417328,-0.085628,-0.593767,-0.187355,-0.045743,0.144987,-0.019065,-0.051500,0.000010,0.051502,0.019058
21,25.393157,-0.455174,-0.311707,0.193713,-0.323487,-0.031096,-0.150396,0.080416,0.001594,-0.072926,0.000011,0.072929,-0.001601
22,24.677282,-0.319816,-0.257647,0.013952,-0.372680,-0.028998,-0.035500,-0.073704,-0.067097,-0.063033,0.000010,0.063035,0.067090
23,24.207981,-0.183035,-0.101448,0.224383,-0.161614,0.079747,0.033900,0.074922,-0.085710,-0.060110,0.000010,0.060112,0.085703
24,24.411117,-0.428062,-0.377558,-0.177616,-0.577799,-0.264019,-0.043904,0.073134,-0.184866,-0.103532,0.000010,0.103535,0.184859
25,24.544071,-0.342054,-0.315397,-0.186203,-0.637545,-0.601720,-0.280855,0.299029,-0.075820,0.169174,0.000010,-0.169171,0.075813
26,23.548343,-0.132144,-0.013844,0.315772,-0.186648,-0.031025,0.063261,0.281729,-0.106293,0.038004,0.000009,-0.038002,0.106286
27,24.486137,-0.726751,-0.500141,0.262453,-0.149041,0.006454,-0.264133,0.171802,-0.047556,-0.085977,0.000010,0.085979,0.047549
28,23.763116,-0.669700,-0.398650,0.093065,-0.659767,-0.086606,0.332409,0.546308,-0.123297,0.084520,0.000010,-0.084518,0.123290
29,24.686077,-0.701488,-0.392884,0.466345,-0.380690,-0.132786,-0.209601,0.273119,-0.174675,0.076854,0.000010,-0.076852,0.174668
30,23.915332,-0.396405,-0.073209,0.635808,-0.411376,-0.116343,-0.162131,0.114598,-0.081569,-0.028900,0.000010,0.028902,0.081562
31,24.333106,-0.456486,-0.348835,0.025514,-0.464411,-0.189125,-0.066482,0.300869,0.097280,0.115227,0.000010,-0.115224,-0.097287
32,24.421630,-0.389467,-0.362308,-0.146131,-0.524880,-0.210179,-0.156188,-0.055123,0.096348,0.014061,0.000010,-0.014059,-0.096355
33,23.978969,-0.344022,-0.145295,0.370386,-0.241230,0.328028,0.067313,-0.269122,0.212003,-0.111121,0.000010,0.111123,-0.212009
34,24.183782,-0.602420,-0.280205,0.496111,-0.367465,0.078173,0.103613,0.455358,0.050972,-0.038249,0.000010,0.038252,-0.050980
35,24.165666,-0.107374,-0.081787,0.029711,-0.333335,0.017461,0.168186,0.070459,0.015044,0.187024,0.000010,-0.187022,-0.015050
36,23.887107,-0.534520,-0.281225,0.311143,-0.656522,-0.468857,-0.189877,0.520587,-0.094342,0.257233,0.000009,-0.257230,0.094335
37,23.728761,-0.514089,-0.504110,-0.303900,-0.302855,0.020274,0.184971,0.372307,0.014077,-0.067190,0.000010,0.067192,-0.014084
38,24.268026,-0.738812,-0.500278,0.202161,-0.500887,-0.114372,-0.064564,0.189492,-0.189725,0.134286,0.000010,-0.134284,0.189719
39,23.980503,-0.522008,-0.411630,-0.231596,-0.816790,-0.114463,0.213309,0.030482,0.137175,0.097324,0.000010,-0.097322,-0.137182
40,24.447082,-0.602936,-0.489814,0.006570,-0.361835,-0.131793,-0.042953,0.339592,-0.113260,0.071476,0.000010,-0.071473,0.113252
41,24.324314,-0.424710,-0.403953,-0.033276,-0.123130,-0.295137,-0.406625,0.184615,-0.106910,0.044499,0.000010,-0.044496,0.106903
42,23.959291,-0.118041,-0.175851,-0.090603,-0.301647,-0.273208,-0.090587,0.280936,-0.057980,0.109895,0.000010,-0.109893,0.057973
43,23.893188,-0.330286,-0.257890,-0.006959,-0.223623,-0.275669,-0.086631,0.763583,0.115467,-0.068705,0.000010,0.068708,-0.115474
44,24.327926,-0.290531,-0.349408,-0.185515,-0.250095,-0.206878,-0.078853,0.350242,-0.027322,0.227332,0.000010,-0.227329,0.027316
45,24.183149,-0.139457,-0.083225,0.125881,-0.354521,-0.137327,-0.057348,0.049351,-0.117527,0.002639,0.000010,-0.002636,0.117521
46,23.040124,-0.210227,-0.083087,0.382337,0.045245,0.012547,-0.365157,-0.042017,-0.007139,0.025421,0.000009,-0.025419,0.007133
47,23.999080,-0.231280,-0.087786,0.304177,-0.255564,0.080445,0.034694,-0.001715,-0.244840,-0.069413,0.000010,0.069415,0.244834
48,24.030059,-0.253335,-0.161953,0.076917,-0.584718,-0.468100,-0.258396,0.181036,-0.020953,0.168080,0.000010,-0.168077,0.020946
49,24.085403,-0.312474,-0.112549,0.365754,-0.432758,-0.055389,0.015142,0.143820,-0.070477,0.018113,0.000010,-0.018111,0.070470
