Block,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13
0,28.542041,-1.047564,-0.209156,-0.149470,-0.474129,0.234221,0.344950,0.047364,0.189381,0.081190,0.000013,-0.081187,-0.189390
1,24.601091,-0.292837,-0.076835,0.418476,-0.161312,0.159810,-0.010894,-0.240288,-0.420492,-0.019173,0.000010,0.019176,0.420486
2,24.384698,0.088355,0.093546,0.285951,0.136605,-0.014579,-0.282447,0.119599,0.217013,0.068716,0.000010,-0.068714,-0.217020
3,24.806142,0.220905,0.088648,-0.203853,-0.354778,-0.224558,0.173550,0.153467,-0.172385,0.062526,0.000010,-0.062523,0.172378
4,24.670717,-0.204720,-0.172890,0.107463,-0.101651,-0.351929,-0.550457,-0.012033,0.017260,0.225247,0.000010,-0.225245,-0.017267
5,24.503026,0.534772,0.349084,0.031707,0.200064,-0.173376,-0.419853,-0.338155,-0.107554,0.067852,0.000010,-0.067849,0.107547
6,24.581945,-0.354644,-0.287261,0.134638,0.073931,0.005842,-0.302706,-0.032648,0.018395,0.168617,0.000010,-0.168614,-0.018402
7,25.346624,0.230744,0.255291,0.402203,0.287241,0.079123,-0.207795,-0.219991,-0.389511,-0.111937,0.000010,0.111940,0.389504
8,24.338502,0.217703,0.163139,0.195361,0.060243,-0.082733,-0.337961,-0.048792,0.194892,0.022311,0.000010,-0.022308,-0.194899
9,25.260881,0.047874,-0.096591,-0.126410,0.015922,-0.178476,-0.328984,-0.037413,-0.049509,0.105185,0.000010,-0.105183,0.049502
10,24.275363,-0.210540,-0.126800,0.202689,-0.186192,-0.099129,-0.285004,-0.076718,0.191470,0.219275,0.000010,-0.219273,-0.191477
11,24.930782,0.053401,-0.052383,-0.124754,-0.206156,-0.109504,0.029130,0.106564,0.027571,0.077041,0.000010,-0.077038,-0.027578
12,24.405105,-0.345149,-0.488924,-0.453238,-0.198359,-0.269478,-0.236528,0.293712,0.026934,0.172826,0.000010,-0.172823,-0.026941
13,24.822704,-0.128034,0.003706,0.403898,-0.177530,-0.302589,-0.448026,0.119378,-0.031589,0.049446,0.000010,-0.049444,0.031582
14,24.928142,0.055307,0.204885,0.369571,-0.431858,-0.056511,0.003073,-0.244607,-0.258747,-0.183698,0.000010,0.183701,0.258740
15,24.896438,-0.141785,-0.326188,-0.412030,0.110147,0.112986,0.074871,0.107054,0.022286,0.241056,0.000010,-0.241053,-0.022293
16,23.738548,0.267257,0.220926,0.266819,0.114022,-0.035899,-0.195314,-0.109642,-0.008444,0.141456,0.000010,-0.141454,0.008438
17,23.483764,-0.148141,-0.123311,0.157409,-0.102225,-0.300346,-0.389383,0.097063,-0.095962,-0.043027,0.000009,0.043030,0.095955
18,23.949371,-0.301816,-0.224202,0.082739,-0.405621,-0.139391,-0.177440,-0.060755,-0.078775,0.005299,0.000010,-0.005297,0.078768
19,24.349922,-0.380442,-0.255406,0.147041,-0.394013,-0.106586,-0.023836,0.138522,-0.093201,0.029687,0.000010,-0.029684,0.093195
20,24.632665,-0.299368,-0.223585,0.149092,-0.321824,-0.261454,-0.250563,0.231537,-0.066586,0.140686,0.000010,-0.140683,0.066579
21,24.246482,-0.160921,-0.062524,0.308776,-0.217799,-0.180534,-0.168739,0.231380,0.049641,0.336191,0.000010,-0.336188,-0.049648
22,24.051315,0.181545,0.154751,0.052839,-0.294361,-0.054467,-0.051630,-0.401300,-0.206334,0.052475,0.000010,-0.052472,0.206327
