Block,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13
0,29.133842,-0.633473,0.065689,0.037615,-0.277809,0.279834,0.350946,0.030588,0.166183,0.047831,0.000013,-0.047828,-0.166191
1,25.642005,-0.191194,-0.109216,0.226619,0.228049,0.497657,0.213730,-0.070641,0.018013,-0.051427,0.000011,0.051430,-0.018020
2,24.912204,-0.067243,0.514000,1.407462,-0.146405,0.025843,-0.214600,0.009998,-0.132025,0.026857,0.000010,-0.026855,0.132018
3,25.258340,-0.019267,0.300030,0.699385,-0.533056,0.020860,0.210915,0.374048,0.302606,-0.064893,0.000010,0.064895,-0.302613
4,23.919343,-0.179263,0.349604,1.321119,0.135734,0.427248,-0.001620,0.115286,-0.057768,-0.196936,0.000010,0.196938,0.057762
5,24.888374,0.308265,0.299336,0.317235,-0.002084,0.095716,0.115553,0.168445,0.023372,-0.026952,0.000010,0.026954,-0.023380
6,26.216772,0.391876,0.532512,0.642433,-0.173982,-0.180539,-0.091111,0.101396,0.000794,0.202747,0.000010,-0.202744,-0.000801
7,25.100475,-0.120907,0.144027,0.729256,0.071441,0.368638,0.290624,0.400684,0.095748,-0.071457,0.000010,0.071459,-0.095755
8,26.020090,0.287662,0.506899,0.871232,0.114250,0.045957,-0.111980,0.348425,0.038350,-0.055297,0.000010,0.055300,-0.038357
9,24.829206,-0.071188,0.321684,1.096251,0.121918,0.180032,-0.169419,0.234659,0.281433,0.230368,0.000010,-0.230366,-0.281439
10,25.690706,0.536857,0.569059,0.450732,-0.164114,-0.199471,-0.043119,0.167578,0.232305,0.181239,0.000010,-0.181236,-0.232311
11,25.354162,-0.025374,-0.016565,0.219842,0.234547,0.178245,-0.069696,0.212497,0.276254,0.276561,0.000010,-0.276558,-0.276261
12,25.493320,0.624892,0.360635,-0.060669,0.277125,0.062031,0.059813,0.115052,0.025771,0.023285,0.000010,-0.023282,-0.025778
13,25.022666,-0.167587,0.058572,0.446090,-0.327784,0.279584,0.313154,0.028051,0.013237,0.009066,0.000010,-0.009063,-0.013243
14,25.210700,0.364718,0.357433,0.346812,-0.020608,-0.093550,-0.184236,-0.034423,-0.067991,-0.009404,0.000010,0.009407,0.067984
15,25.694089,0.340506,0.338942,0.264429,-0.284172,-0.056073,0.010123,-0.043175,0.178351,0.023117,0.000011,-0.023115,-0.178358
16,25.757322,-0.210029,0.058549,0.734222,-0.064188,-0.028239,-0.143798,0.292657,-0.266187,-0.068340,0.000010,0.068342,0.266179
17,25.655059,-0.027664,0.042145,0.394104,0.141319,0.165195,0.040587,0.286803,-0.034555,0.019612,0.000010,-0.019610,0.034548
18,25.139242,-0.048383,-0.049408,0.117424,0.043904,0.120373,-0.024291,-0.130097,-0.084235,0.263119,0.000010,-0.263116,0.084228
