Block,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13
0,27.998947,-1.461268,-0.506325,-0.311208,-0.440565,0.402031,0.561326,0.292356,0.394513,0.185634,0.000013,-0.185631,-0.394521
1,13.134464,-0.734389,-0.528798,0.172573,-0.138348,0.154818,-0.038410,0.164104,0.026812,-0.089870,0.000006,0.089871,-0.026816
2,13.967205,-0.953813,-0.656902,0.242279,0.007450,0.275446,-0.045151,0.165515,0.060759,0.005156,0.000006,-0.005155,-0.060763
3,13.728420,-0.818304,-0.504456,0.383314,-0.256110,0.096159,-0.057146,0.269244,0.120755,0.065700,0.000006,-0.065699,-0.120759
4,15.779540,-0.681913,-0.539028,0.065360,0.053478,0.250466,0.089445,0.298360,0.199557,0.202448,0.000007,-0.202447,-0.199562
5,15.713076,-0.944482,-0.644725,0.206562,0.094353,0.426369,0.117982,0.045134,-0.089956,0.030057,0.000007,-0.030056,0.089951
6,16.253850,-0.714902,-0.664307,-0.254028,0.109614,0.136778,-0.160279,-0.159052,-0.291531,0.074724,0.000007,-0.074722,0.291527
7,15.246218,-0.895443,-0.718441,-0.102647,-0.154559,0.302640,0.033100,0.044235,0.212871,-0.168263,0.000007,0.168265,-0.212875
8,13.616757,-0.589245,-0.421764,0.146759,-0.390675,-0.159406,-0.273444,-0.019796,-0.009852,0.050165,0.000006,-0.050164,0.009848
9,15.633663,-0.559749,-0.564354,-0.406955,-0.594091,-0.217055,-0.033187,0.012634,-0.077249,0.022237,0.000007,-0.022235,0.077245
10,16.180147,-0.874468,-0.629091,0.094599,-0.550243,-0.181429,-0.332481,-0.022286,-0.009112,0.116251,0.000007,-0.116250,0.009107
11,15.374533,-0.761014,-0.641640,-0.268483,-0.425612,0.249832,0.252126,-0.065831,0.122363,-0.216278,0.000007,0.216279,-0.122368
12,14.156934,-1.057366,-0.812771,-0.030430,-0.281603,-0.038046,-0.181005,0.333617,-0.047128,-0.126275,0.000006,0.126276,0.047124
13,15.091053,-0.955449,-0.728477,0.003775,-0.294089,0.100569,0.028071,0.310257,0.119580,0.067110,0.000006,-0.067109,-0.119584
14,15.782830,-0.746113,-0.613725,-0.085929,-0.201161,0.220115,0.121721,0.243809,0.376750,0.126582,0.000007,-0.126581,-0.376754
15,15.221036,-0.085881,-0.112179,0.107249,0.311586,0.045353,-0.274898,-0.022383,-0.260184,-0.096045,0.000006,0.096047,0.260180
16,15.042101,-0.822445,-0.585698,0.139092,-0.257964,0.162944,-0.054691,0.059787,0.078218,-0.060477,0.000006,0.060478,-0.078223
17,14.514772,-0.830983,-0.567152,0.174474,-0.476677,0.094823,-0.052938,-0.042657,0.031016,0.148713,0.000006,-0.148711,-0.031020
18,14.733643,-0.905548,-0.573791,0.304477,-0.459831,0.110606,0.075728,0.181464,0.114978,0.082392,0.000006,-0.082391,-0.114982
19,15.071024,-1.375540,-0.888196,0.296481,-0.385934,0.344774,-0.030653,-0.154820,0.074300,0.003785,0.000007,-0.003784,-0.074304
20,14.622578,-0.856520,-0.661035,-0.058437,-0.156716,0.384253,0.104003,-0.172566,0.143160,-0.000362,0.000007,0.000363,-0.143164
