,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,Class
0,-344.83527,66.33095,-8.241385,0.023752443,-12.479361,-0.42320073,-2.9487338,4.756762,2.8114495,10.4656925,13.023164,20.131088,17.612986,rain_light
1,-340.94244,66.78221,-10.483613,-2.6547794,-12.027286,1.5286874,-1.896025,4.5507007,2.692967,10.311844,12.919851,18.864174,16.78242,rain_light
2,-335.82004,67.59923,-10.429592,-3.9198518,-13.877454,1.0785737,-1.6352922,4.7184443,2.5907443,9.811685,12.482792,19.779829,17.376875,rain_light
3,-340.3189,67.67779,-8.374141,-0.55028695,-12.130376,0.7570608,-2.1816382,5.237686,2.3370852,9.47612,12.452229,19.598751,17.472153,rain_light
4,-341.40332,66.54547,-8.523707,-0.2845478,-12.4351015,-0.70915174,-3.2120216,3.900958,2.0432684,10.628424,13.565494,20.461824,17.85321,rain_light
5,-341.1573,66.63908,-8.378775,-0.021776522,-11.916958,0.045975655,-2.571722,4.672033,2.199328,9.227322,11.889404,20.246105,18.50204,rain_light
6,-328.6131,68.94341,-9.784127,-4.330951,-15.385742,-0.78003025,-4.505114,3.5968623,2.0256786,9.094285,12.532238,20.753567,18.349852,rain_light
7,-337.82083,66.56397,-9.293723,-2.0662873,-13.865034,0.3779057,-2.1014564,5.140739,2.236104,9.533011,12.341981,20.43238,18.234713,rain_light
8,-335.7213,66.10412,-10.034085,-2.6346433,-13.554856,1.6076468,-1.9804482,4.475236,1.5329388,9.520659,12.997612,20.672174,18.56405,rain_light
9,-337.73615,65.85514,-9.778332,-1.881342,-12.842344,1.4402227,-1.7025777,5.113217,1.9841635,9.077002,11.966149,20.111692,18.297928,rain_light
10,-342.6579,66.46607,-8.641421,0.331618,-10.546992,1.7807729,-1.1466905,5.645479,2.924533,10.3950205,12.939738,19.375969,16.84808,rain_light
