Frequency(Hz),REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav,REC9.wav,REC10.wav,REC11.wav,REC12.wav,REC13.wav,REC14.wav,REC15.wav,REC16.wav,REC17.wav,REC18.wav,REC19.wav,REC20.wav,REC21.wav,REC22.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.25,62.6807,132.9126,111.4188,103.4699,52.0243,118.3943,189.4753,54.6333,74.3955,46.8444,69.7008,85.4894,75.728,28.1524,14.2483,48.2031,41.5338,75.3075,158.4694,626.2274,332.8354,275.2661
46.875,62.6503,178.9191,94.431,94.855,57.3448,194.7892,221.9728,49.2053,73.3757,25.909,122.647,76.4976,52.8951,132.3294,39.3885,47.156,40.3376,65.9495,83.1377,439.6491,355.093,321.5899
62.5,69.1342,48.8966,73.1603,44.0647,58.431,108.5728,374.21,80.5133,69.6411,44.5087,66.7535,7.9568,62.7267,23.4216,24.1867,48.085,50.0768,81.3058,51.062,557.4972,353.5217,299.4927
78.125,42.3176,29.4707,94.5405,86.6653,47.6724,52.3805,255.4579,34.579,57.5226,30.1844,94.5457,44.8197,67.6431,96.237,7.838,63.2405,22.6392,40.366,130.7451,707.393,338.9776,293.9007
93.75,60.7255,71.5315,77.0586,100.1257,63.1356,150.8743,355.0048,37.2392,62.9345,53.3103,47.3106,66.8622,45.8938,35.9126,35.6488,26.7883,48.6472,65.2239,89.1018,803.0705,334.5457,296.3177
109.375,54.5471,100.0018,45.0563,26.8465,30.1994,110.1223,265.7122,44.6001,61.1246,23.4753,48.0428,50.5672,27.4589,110.3223,14.4345,54.6161,40.5357,20.4406,59.0039,743.594,325.1996,277.3819
125,38.2288,54.431,90.8663,62.6277,50.1937,31.6653,194.9791,57.8008,44.8329,27.5037,93.9188,32.8507,27.6044,52.8653,22.7359,58.5441,35.7681,125.097,120.1949,596.1571,313.374,253.984
140.625,47.5998,71.7855,40.7909,28.4064,31.7141,61.1484,310.9227,27.302,62.3439,29.5645,89.0011,21.109,38.1397,106.336,35.1306,5.447,48.9669,78.3205,138.8701,430.5877,299.706,264.911
156.25,41.7059,52.7419,75.7135,70.5193,39.3317,39.5036,175.2875,42.8102,31.1147,25.21,22.86,47.0038,35.0381,42.6979,21.019,59.1532,23.839,70.1884,92.4874,424.4521,266.9933,229.3376
