Frequency(Hz),REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav,REC9.wav,REC10.wav,REC11.wav,REC12.wav,REC13.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.625,,,,,,,,,,,,,
31.25,43.1373,9.971,6.6856,20.1704,24.3285,53.9322,39.8155,15.8521,47.988,32.4137,53.2663,40.7802,39.0471
46.875,40.9558,16.8278,22.1472,18.3205,1.3112,17.2084,29.5651,10.9602,26.5641,35.9832,22.1641,27.5732,37.2955
62.5,20.7331,4.5926,16.8142,18.1554,25.507,39.5661,28.0763,14.6367,29.0656,26.9605,24.8088,36.3471,27.4932
78.125,33.8049,14.8904,22.8554,11.3162,5.3079,23.4812,25.0685,3.1115,27.9633,36.9298,30.5052,31.1334,19.5712
93.75,26.9192,35.7135,26.3998,10.7924,10.0649,26.632,29.5828,18.2914,23.6804,19.6849,13.2737,14.0601,30.9938
109.375,20.5898,12.0365,10.9925,20.633,23.1925,22.9837,38.8979,18.8191,13.5213,26.4842,32.2299,29.2241,25.9508
125,21.0694,20.2712,8.7462,26.9195,5.1485,21.1756,19.8064,16.0486,34.4039,11.6105,15.708,12.3768,10.1499
140.625,19.5782,16.7505,8.9003,15.2621,33.5215,18.5249,19.5829,12.444,11.7328,30.3883,21.747,30.802,28.2058
156.25,25.9434,13.2753,18.6555,14.163,8.5454,9.6298,17.4821,20.0576,10.7119,5.4669,10.0598,12.8524,9.1449
171.875,15.7388,31.535,12.3693,8.8363,16.3782,27.4405,20.0028,18.0372,22.0593,22.0465,20.2008,19.1716,17.8513
187.5,12.6267,5.4997,20.6739,8.276,19.5336,8.3206,13.1398,10.5095,3.5842,12.6658,14.2112,7.3605,15.5849
203.125,15.2314,24.2226,13.8074,23.4883,16.869,18.6355,12.9853,21.3652,25.7181,6.4755,11.4245,14.8274,26.4363
218.75,23.6655,18.551,19.021,20.7928,17.8808,16.5398,14.0668,18.8686,15.0561,20.3454,21.9769,6.3452,12.0075
234.375,7.0477,8.9845,15.6342,21.2091,29.0599,11.9297,15.4572,22.3291,30.2431,30.6417,10.8296,29.977,31.0754
250,38.3274,34.8838,27.1848,23.2559,13.82,20.2853,25.1117,19.2406,23.6834,17.8481,35.2525,29.7802,15.1444
265.625,11.0703,28.8857,7.1938,21.1993,23.5098,34.1997,39.071,17.1324,17.9574,32.4929,22.0686,26.1354,24.5943
281.25,28.92,9.7742,33.1798,31.4206,23.4129,34.9125,29.8468,26.7292,53.3027,28.7111,28.8575,39.5006,25.3763
296.875,41.8515,28.1268,12.9648,30.832,30.8788,49.6836,28.234,34.0989,29.1097,38.2439,45.3859,19.0356,45.4387
312.5,42.0046,32.4522,25.7693,9.5163,30.4093,39.0004,31.0024,19.7671,36.2309,45.0674,18.7774,50.5867,36.0684
328.125,27.0255,18.1083,57.7425,60.1677,45.2607,37.5537,50.8704,21.9223,37.1991,46.0421,69.9306,30.6352,47.7005
343.75,90.9554,63.004,39.2118,17.21,6.6157,36.0034,91.1268,23.8454,94.5323,45.0845,5.3177,40.8392,18.8414
359.375,82.0698,84.0236,81.8986,56.6184,42.7859,171.385,59.9003,100.0505,40.6199,101.7031,77.3513,76.1857,116.2792
375,148.8256,114.6771,46.2798,60.7383,27.5756,82.2826,55.7706,46.6878,95.8168,89.211,62.1426,24.4709,19.506
390.625,33.4429,33.746,75.7597,93.7989,89.6094,101.8731,262.2531,99.8671,76.5901,69.5089,58.4098,67.1708,58.1183
406.25,102.1906,88.2551,65.0979,69.6346,7.1122,164.9823,65.2457,11.8925,135.2453,26.6858,109.5241,42.8213,84.4311
421.875,47.6255,72.2323,77.1988,45.1782,78.878,30.8693,93.7744,64.2907,147.7471,45.4544,62.5345,43.8319,35.2713
