Frequency(Hz),REC0.wav,REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav,REC9.wav,REC10.wav,REC11.wav,REC12.wav,REC13.wav,REC14.wav,REC15.wav,REC16.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.25,52.8116,61.2739,40.0485,47.311,46.5606,53.1149,61.8965,53.0818,75.1341,40.1555,57.4202,50.2973,40.9528,48.7621,37.0764,53.6476,75.4951
46.875,49.8038,65.4168,47.7824,35.912,32.8928,55.2708,56.3997,23.9764,40.7281,44.0527,46.8322,56.271,30.4363,30.7969,39.1438,27.9158,49.2677
62.5,34.4665,57.0135,32.2217,25.3077,33.8466,59.4452,66.6833,46.3105,63.8014,38.2755,59.1189,57.9128,37.0768,31.1105,31.3986,27.7235,54.1287
78.125,46.8399,53.2068,35.6449,43.8764,27.8513,48.1451,44.6865,16.6091,45.3074,16.4168,53.1933,38.3967,29.4866,37.5736,45.5742,44.5377,51.7905
93.75,39.6153,57.1008,36.2257,28.0895,33.7229,55.2303,45.7327,40.44,50.205,36.8167,42.9841,55.807,38.5503,26.491,19.9468,23.0491,46.8027
109.375,29.4571,48.2478,25.4864,31.9705,34.317,34.1746,48.5956,27.386,52.408,32.2938,33.3406,37.787,21.1206,29.1375,27.7802,30.0921,29.9964
125,34.3287,50.7628,32.745,19.3421,19.6524,48.4057,32.1123,24.5255,28.6776,17.7079,38.1783,41.3874,30.983,30.0063,28.839,24.3065,42.0336
140.625,32.0323,23.0691,23.3443,35.3006,27.9615,31.4388,40.4681,18.9206,30.8427,27.4877,53.4765,30.0182,33.7957,17.9656,23.0073,16.5486,35.1766
156.25,31.7778,44.2969,34.3216,22.7358,21.3896,35.3309,32.1025,30.9933,32.054,26.1354,17.2884,25.8671,10.9927,30.7142,22.799,27.8726,26.9402
171.875,27.9269,25.3729,8.286,21.5581,14.9284,17.86,29.2973,16.8057,26.9079,26.8461,27.4702,29.5138,20.7721,25.2248,15.1465,14.7354,23.1822
187.5,19.6352,27.6601,20.4492,26.6287,30.0615,28.8661,22.0309,13.6054,24.1601,27.0457,23.3184,19.3618,32.3228,10.7917,19.4581,23.7604,26.8057
203.125,20.33,14.6449,25.9033,26.8489,9.4283,18.4008,35.1394,37.4574,9.4925,17.9118,15.0373,21.1261,11.6494,12.3161,17.9965,11.9887,16.4105
218.75,21.2127,22.8114,22.6015,18.5301,16.9848,25.7393,4.7339,22.7353,10.3237,14.7476,20.139,8.2926,8.7613,26.2798,8.8973,15.4474,10.4526
234.375,9.3147,31.6726,29.1582,8.3548,14.6701,16.5339,23.3088,26.1233,14.2595,21.7056,8.7093,20.957,23.3195,8.1318,17.1986,15.3247,12.4535
250,27.993,5.2817,11.7604,23.8086,21.3296,20.4193,18.0362,33.221,22.8202,5.9088,7.6482,14.2645,10.6662,11.3386,21.1301,21.3226,28.6739
