Frequency(Hz),REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav,REC9.wav,REC10.wav,REC11.wav,REC12.wav,REC13.wav,REC14.wav,REC15.wav,REC16.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.25,61.1685,84.1489,52.6081,69.1186,46.8842,82.3337,82.8838,74.0737,76.4999,80.02,68.2431,47.001,75.4228,63.3411,75.3671,51.6956
46.875,48.1984,73.7619,51.4466,50.2122,66.0305,79.0651,71.0699,67.4139,68.9072,61.2213,79.7225,58.1663,69.1662,48.9948,75.0577,47.4531
62.5,51.6137,64.3837,51.6991,39.5148,38.4985,54.1015,66.0605,69.9484,66.5104,65.8027,68.4383,48.3756,65.7367,50.7159,60.5479,38.1592
78.125,49.6714,76.6512,40.3641,55.157,46.8529,79.4923,68.8566,70.5283,68.1486,73.1588,59.0688,38.2084,64.8087,48.0743,72.8597,39.9469
93.75,52.2828,59.0365,59.0093,34.2372,33.7761,38.0339,65.1396,52.0391,53.2844,63.3765,64.4453,54.0391,43.5825,30.6883,48.2374,41.2875
109.375,41.6394,49.305,29.1792,55.4536,55.3225,68.938,43.7217,60.6414,49.8953,54.8618,42.7052,19.1906,69.7007,50.1047,55.4738,35.7222
125,46.1482,76.7451,45.24,27.4607,23.7041,50.8746,54.3688,44.8576,65.4668,44.7729,56.6813,55.4846,38.3201,37.5613,63.2607,38.138
140.625,26.447,39.4716,27.0574,37.2382,41.2177,52.546,40.2002,50.2074,35.3265,48.0182,51.5168,29.2449,51.9963,30.1178,19.9796,26.3744
156.25,35.2528,48.6854,49.8848,30.7027,33.1216,31.842,53.9738,47.8828,42.1065,31.0471,38.052,21.4728,31.9922,30.9202,61.8938,31.9352
171.875,33.2779,36.559,43.4773,33.9882,25.173,27.6486,34.4698,26.1373,25.7343,40.4268,30.1575,34.7381,37.6221,24.6249,25.4924,20.7357
187.5,23.8825,22.4059,33.0129,27.9388,28.8738,31.217,36.8322,36.3671,42.5541,40.0771,33.3553,23.142,25.1061,19.0854,14.7307,21.2978
203.125,13.2238,19.4619,21.2916,36.8194,8.7082,32.9314,5.8492,31.0828,24.4795,5.9182,15.8875,25.8467,22.1916,46.1003,35.4124,27.3665
218.75,31.1639,31.536,22.5136,10.7919,27.8331,23.6502,26.6992,12.7724,22.8302,20.7375,62.5189,21.2281,23.567,14.0592,16.7662,5.9902
234.375,28.0659,6.6602,26.6512,24.8179,25.2052,12.8981,24.0613,10.6667,23.8478,12.7153,22.1765,5.7628,12.7333,16.9278,32.6919,19.8221
250,7.4908,38.0587,11.6103,20.9148,12.4624,18.3254,19.6366,23.3437,5.9272,15.9378,4.2452,19.7828,16.098,23.4357,11.9141,15.8518
265.625,6.2279,14.6613,39.428,15.38,18.8129,38.288,31.3151,39.9567,2.1478,29.5282,35.3754,23.4276,21.1495,11.8114,39.5599,16.8382
281.25,34.4668,51.1162,4.5157,20.6883,34.921,28.5899,9.9507,30.8331,26.3649,20.4843,32.7682,8.7205,38.2585,16.8506,12.339,12.7653
296.875,33.8628,31.3065,39.5725,57.0115,13.6184,25.611,48.396,30.4837,37.7279,29.9466,28.6999,53.7566,34.2959,28.0395,31.7423,46.8999
312.5,30.2422,21.8516,21.2858,14.9611,50.4525,44.2556,12.6906,40.3119,32.2935,23.002,54.6493,24.8614,5.7596,19.9677,43.0451,38.2238
328.125,51.2475,54.8883,57.9679,57.0174,18.9404,70.703,59.4146,10.5926,56.7343,52.7002,60.8608,38.6985,43.5278,14.0508,44.9034,61.0339
343.75,62.1078,41.0972,68.9268,48.7413,29.7979,74.0982,66.0543,53.0134,22.7697,79.6268,265.6022,57.5456,77.244,101.779,151.8097,32.3129
359.375,108.6004,192.3133,126.1246,17.1548,72.476,44.3052,51.3888,150.7765,76.2599,39.25,317.8024,143.522,94.638,177.4601,127.0325,90.9641
375,139.8241,76.56,44.1078,89.7658,14.8555,66.8279,49.8631,160.8927,78.3463,30.5867,314.2942,67.8087,103.8752,173.5934,187.2097,20.6438
390.625,117.2245,185.9346,86.3277,51.1058,160.7475,138.3645,99.3269,193.4173,82.9162,94.2618,77.4589,81.141,191.6077,97.9719,267.62,110.4493
406.25,76.4175,53.0713,41.9295,79.071,78.5533,79.2015,110.8545,66.8193,67.5205,12.9236,251.7281,121.873,20.905,156.1772,265.4207,122.7234
421.875,85.3779,98.9098,37.7396,27.9621,40.8601,166.1705,135.1315,42.4015,92.9824,111.5555,72.8787,17.7187,125.0355,79.0999,198.1265,70.0559
437.5,173.6043,92.1569,21.7123,57.9669,63.9652,210.2952,105.9055,81.3492,77.7322,94.2664,38.4885,45.8821,61.6883,241.1749,160.666,79.6056
453.125,39.6632,39.5601,110.3569,52.6711,39.5737,58.9985,124.4114,64.7858,59.6647,48.4995,125.8088,49.7767,81.5563,129.2859,132.2654,44.5611
468.75,53.7605,77.7471,44.5328,11.6452,20.5016,33.4244,82.5095,50.0499,87.2311,26.4826,83.0836,55.5821,61.1919,55.6905,132.3174,31.246
484.375,67.7052,50.2786,79.8362,73.5254,57.0996,93.5716,13.3273,82.5599,36.1704,111.4859,7.1857,47.2226,84.0258,31.7126,103.0804,43.0333
500,22.6411,70.1189,22.5664,30.0279,52.546,49.611,71.8697,72.6166,68.2809,61.7394,95.0227,35.3574,39.5643,95.4218,50.1253,72.2504
515.625,28.1891,64.1376,47.6796,51.6071,27.569,78.8847,96.9644,54.0111,78.1504,54.6835,64.1902,16.8261,86.9348,18.8902,61.6003,19.8595
531.25,61.4298,53.0396,56.961,18.2267,39.4472,75.187,34.644,51.4073,62.2787,64.1089,44.6374,76.6534,39.0398,65.8801,77.8199,51.2448
546.875,24.5808,44.2194,23.8088,50.1132,49.6599,29.0616,66.7253,80.4775,52.423,60.369,66.7187,22.7857,65.3267,25.3589,47.4086,25.9506
562.5,44.5581,51.5913,53.2917,40.8406,29.4265,73.8893,49.9295,50.5021,42.9148,46.5484,76.8765,45.1336,47.9045,51.615,71.0719,60.9097
578.125,54.3969,43.8215,40.7475,11.5974,38.1894,52.5077,59.101,8.5402,57.1334,41.2752,30.0062,16.198,27.694,41.0368,52.6964,22.3964
593.75,20.0004,60.5107,35.1627,53.6743,36.666,55.614,34.8375,82.7315,24.0451,32.5929,45.6566,59.8932,78.6131,47.3547,62.5331,49.3974
609.375,67.8047,27.0852,36.5123,55.6435,11.7083,5.3769,57.2561,43.5967,67.9396,56.0003,94.4498,35.3938,47.2395,22.4254,71.7162,13.1186
625,46.1681,34.8419,30.3385,26.3888,38.7519,77.6336,9.207,11.5222,11.6306,61.5081,22.4617,42.4819,42.4304,37.6345,12.9795,42.0724
640.625,11.3549,55.2337,36.1551,61.3008,41.406,20.5462,51.8179,72.8388,42.5589,25.0704,42.5039,10.0644,38.9443,62.2881,25.419,12.8073
656.25,27.1743,14.7552,30.2388,27.3733,27.4372,11.386,22.2078,37.4831,26.8069,15.6975,30.0963,64.7503,3.4895,53.7537,40.9355,44.9381
671.875,26.2698,17.2058,19.5263,15.6557,43.1888,51.713,23.4721,1.9125,25.4012,9.8481,36.726,5.872,23.2268,34.8855,12.9742,28.5806
687.5,12.948,22.7003,41.4372,36.6528,10.5674,16.6864,55.2087,36.6527,50.691,47.2133,8.5481,24.9905,10.8102,31.7498,8.9738,26.723
703.125,19.2139,29.3208,47.2087,16.6836,36.4859,15.9664,29.2932,37.1551,24.6676,21.1463,40.7692,35.099,45.2466,21.7805,16.5077,57.5821
718.75,24.292,24.1867,63.8367,16.4391,18.9107,42.7174,39.247,51.5018,21.2365,28.2605,21.4463,2.9968,26.7023,15.1278,27.5462,23.5118
734.375,16.0041,21.0221,29.4705,31.0628,27.2203,17.1489,24.6008,23.9666,40.1026,36.4147,66.753,26.5113,22.099,32.6493,10.8306,35.8892
750,42.279,36.673,36.5219,24.6423,19.2369,23.5047,53.9639,25.7522,9.0434,20.0669,23.6014,46.35,24.8802,26.8316,46.4139,28.098
765.625,23.3798,33.1491,22.1677,17.5444,12.8279,12.5832,20.395,51.8064,14.6165,58.1554,81.4195,26.9435,16.0443,7.1826,24.5191,9.4691
781.25,11.3559,25.0187,21.9298,29.5358,34.2586,53.8173,35.9905,40.4257,39.6858,14.7991,61.9424,18.774,31.4357,22.925,46.1961,38.1215
796.875,44.6692,55.108,33.204,25.675,3.9204,11.4423,36.6204,24.0168,37.712,60.3577,41.4381,50.2668,25.3851,28.9254,25.7254,13.4684
812.5,24.5096,18.8385,16.3835,56.7844,17.3519,35.0186,33.5777,42.9488,58.9308,15.6821,13.1636,16.5538,76.7146,26.9643,38.8563,23.5616
828.125,53.2387,66.9846,34.0791,34.9079,22.0522,26.6846,53.5821,42.2706,70.7797,40.8249,91.7949,35.0024,28.0092,2.6452,33.3348,49.2626
843.75,9.3047,11.8727,11.094,37.3319,18.1252,45.756,36.7652,39.2617,15.1075,31.0579,74.2849,5.3143,17.5511,37.4039,29.0834,28.602
859.375,31.8241,46.5137,26.6982,21.395,18.3849,25.9678,67.6456,11.0702,44.2291,60.8635,90.278,23.0969,45.3063,15.8115,40.1815,5.2757
875,23.3674,60.5473,35.2783,30.691,33.7591,48.3802,16.6911,62.411,49.9968,42.579,96.072,30.3689,53.8495,58.987,87.9318,39.73
890.625,30.708,36.3812,22.912,44.6647,18.5962,40.7154,58.1164,57.6419,40.1155,30.8617,14.6858,53.5014,37.2847,38.0598,45.7124,26.8572
906.25,34.0573,56.4918,20.1934,17.4263,39.0603,45.9526,40.1383,25.0878,49.4725,50.8598,60.2547,14.2788,62.8173,42.3675,33.9646,20.1018
921.875,29.0917,35.894,43.5809,37.6775,38.3349,45.0003,57.2174,67.6697,38.4224,59.8204,90.4885,25.1103,43.8709,52.3417,60.4849,42.1488
937.5,33.98,62.7771,24.9292,48.3471,7.2254,47.2193,16.8752,34.0786,61.0378,30.9299,48.313,57.3608,53.2028,22.7139,61.3351,33.5312
953.125,42.8766,62.117,37.5054,31.9683,68.9716,36.9692,53.4458,40.6205,47.3928,57.7207,107.8524,19.0487,39.1518,51.5369,61.5825,14.7878
968.75,28.9799,33.7912,47.7851,29.3785,35.9235,63.3298,64.4732,67.5796,37.8587,46.273,10.3092,47.0295,25.9859,43.943,26.497,55.2076
984.375,59.4661,56.6276,34.0638,39.4118,32.1998,37.5332,34.5642,62.9702,50.6128,52.8683,61.468,47.912,74.4135,41.6423,60.4349,40.7589
1000,53.2121,56.5817,48.0471,51.215,66.4095,76.6449,57.7539,40.7789,67.7727,59.4342,44.3111,46.1159,60.3965,42.6431,42.3169,31.4193
1015.625,34.8649,38.2485,38.8018,44.3578,28.6212,49.0183,58.6179,52.9557,43.5806,40.3204,75.8545,27.3548,30.6131,80.7932,59.5429,64.9589
1031.25,53.3524,66.2795,69.0563,47.8585,58.4837,54.5175,56.987,47.6005,61.0701,52.5603,63.6857,70.9034,60.1438,59.6909,72.2228,32.7123
1046.875,58.4577,51.5745,29.5093,52.7471,45.6357,50.1084,27.8225,66.7764,42.4345,62.1449,53.2996,44.8002,67.1706,41.6101,43.6184,52.5774
1062.5,48.7915,58.2155,80.3548,66.0277,65.8521,63.7395,79.1421,58.596,79.4472,63.4264,65.5246,80.4252,49.2546,64.5341,83.2357,74.5351
1078.125,57.5539,82.9277,39.967,53.7719,48.913,52.5992,80.2517,63.7171,51.5857,63.609,61.1763,57.7977,66.946,41.5341,68.5141,34.1155
1093.75,64.1742,49.6077,70.2495,52.0688,63.1002,63.1563,47.2673,69.1995,70.1956,63.6806,29.1659,68.4663,82.8933,78.9568,104.5256,69.2051
1109.375,95.4469,58.6463,64.3248,83.3324,79.2504,96.4454,63.8178,58.2242,78.6949,59.164,108.274,71.2637,38.1747,83.2334,65.9705,76.8494
1125,44.1882,88.7482,69.8631,52.453,40.2778,47.4138,63.8839,59.4309,61.9073,80.1815,68.0921,42.8887,74.6198,50.3786,74.8858,51.4353
1140.625,78.4256,55.2154,51.8488,69.9785,82.7833,69.7595,100.9148,99.4432,84.4132,68.794,53.6661,74.0209,80.3803,64.3758,94.4441,87.1668
1156.25,99.8989,84.5849,79.5045,79.3308,75.8929,77.3293,61.2182,66.7043,65.8326,86.3831,71.0956,74.3881,74.1499,96.3802,59.216,58.4267
1171.875,59.2525,72.5271,87.4545,69.2125,74.0941,93.9447,69.2858,78.5537,79.5801,66.2532,74.7652,79.3992,74.8129,84.6536,74.6207,71.7018
1187.5,62.5191,80.6391,59.3183,72.6576,63.3486,54.3757,89.4973,82.9575,54.8272,92.7773,102.4986,72.0653,88.9733,59.9856,111.625,74.0942
1203.125,86.9389,74.9951,81.318,95.8991,108.5312,95.1214,123.596,99.5929,120.3601,74.8346,112.7276,85.9305,81.7765,94.0133,68.0225,86.4614
1218.75,94.4977,90.4143,97.9131,71.1551,61.1142,86.4681,52.8709,81.2334,81.7653,91.2465,83.6248,72.0578,86.359,51.7258,81.2961,86.4862
1234.375,86.8874,86.4294,79.9635,76.4283,77.328,86.3637,65.8909,90.6144,62.3767,67.4276,80.7111,85.3875,97.0712,99.5097,104.2099,65.5124
