Frequency(Hz),REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav
0,0,0,0,0,0,0,0,0
15.625,0,0,0,0,0,0,0,0
31.25,71.875,55.802,69.586,76.7419,45.2398,77.7519,88.2658,70.4158
46.875,74.3706,53.5052,64.9118,63.216,59.3366,56.5257,48.3989,60.1229
62.5,62.3175,33.6101,65.2257,62.5948,33.0118,64.7457,74.7915,65.8291
78.125,59.3015,46.269,64.4336,59.5658,50.9666,59.9285,61.4456,61.8296
93.75,55.5484,41.2787,52.9981,61.6588,35.0659,57.7779,38.6266,49.0994
109.375,59.0708,43.2692,49.3619,47.8044,38.1629,48.8888,59.4322,53.5854
125,42.2821,31.5558,47.88,47.3566,32.9106,36.6064,41.8324,49.4381
140.625,44.8288,31.3294,37.8469,49.0731,40.3913,49.9494,45.8723,39.5171
156.25,41.5967,27.5961,44.7529,22.8428,20.6895,36.7805,44.8605,31.1306
171.875,34.9447,33.3777,25.7157,34.228,35.5573,33.8655,22.9605,29.7326
187.5,23.0141,15.6108,26.4449,17.8111,22.17,11.2607,20.6894,37.142
203.125,18.4746,27.2751,19.3245,20.4804,16.8058,30.8464,15.8052,12.3352
218.75,21.0789,20.7895,20.2229,22.2845,20.2432,6.9807,22.0608,23.268
234.375,22.4406,16.5762,12.0649,13.0934,11.5711,24.4514,11.0932,14.6403
250,16.3615,28.5829,14.7527,8.2295,17.0029,9.3419,13.8507,15.0156
265.625,5.6425,13.2949,14.7666,13.2107,18.3899,17.2336,20.5489,23.6574
281.25,29.4314,29.7663,18.0692,27.6004,22.856,23.7156,24.1992,21.2375
296.875,22.6638,9.9125,31.4837,12.1644,7.8818,28.8696,32.3842,15.4968
312.5,37.5863,20.8836,44.6471,38.4828,34.3232,32.3561,25.4175,52.0205
328.125,22.2502,25.3945,18.9615,36.225,18.6503,24.1921,53.4156,6.413
343.75,129.0175,23.0753,138.6671,189.0277,127.5677,159.2142,8.1366,98.9051
359.375,53.8785,64.1845,64.5982,242.3013,175.5505,217.5588,94.2447,11.7623
375,85.1169,92.3656,80.3207,176.8565,86.0457,28.9557,125.588,66.9585
390.625,66.7134,97.5327,160.6494,122.8161,292.8521,84.458,126.6878,42.097
406.25,105.6633,49.6858,203.2418,80.3698,200.949,64.4617,130.6647,70.9908
421.875,23.4906,60.4762,84.7276,41.7918,306.1387,63.2729,118.3001,84.6257
437.5,139.8265,60.1687,277.9528,231.7233,273.012,144.725,101.4468,41.6637
453.125,42.3193,72.0138,36.6895,40.9889,92.987,35.6272,100.3808,75.4359
468.75,67.0396,28.4086,35.1626,39.9441,34.3919,71.8167,46.3536,71.3234
484.375,49.406,61.1063,93.0839,79.3116,55.7899,40.3343,75.4971,80.8554
500,74.1526,25.3584,62.8375,59.6451,42.1003,69.3446,63.4049,35.6712
515.625,30.5086,52.7014,64.58,54.6287,39.079,59.794,59.1858,72.9674
531.25,75.5671,35.3121,63.86,73.5269,29.6882,68.7781,42.1289,61.501
546.875,55.7159,54.0961,47.1385,53.4714,60.6174,30.6918,81.1323,55.7353
562.5,38.3536,20.6461,47.1469,40.4628,29.5473,55.0625,45.1349,48.6774
578.125,61.7206,49.6887,73.6765,43.2845,27.544,50.4651,40.164,43.3404
593.75,32.3218,18.1715,26.4311,45.7878,57.8407,55.0278,68.7927,56.4424
609.375,34.8406,40.2649,24.31,40.1806,16.8377,27.6359,30.5644,28.1029
625,42.7259,22.8517,73.8844,42.3301,33.5117,49.7835,36.79,41.1194
640.625,25.0097,30.3663,40.2142,27.8675,49.7985,19.6959,35.7829,31.9523
656.25,42.9698,36.0196,31.3977,26.2745,13.6334,37.312,11.4735,29.0262
671.875,13.5149,9.4919,26.491,41.8979,51.0148,15.4211,31.6094,2.3906
687.5,6.7789,30.18,15.956,21.5076,38.3469,4.5897,17.4522,25.3047
703.125,25.0134,4.538,19.3112,14.6643,9.1911,23.6611,6.6691,39.6085
718.75,20.1667,25.5855,14.1697,28.1689,18.2767,37.8849,26.1141,15.1879
734.375,38.9477,26.1755,39.6934,62.5049,18.2402,15.3364,30.2125,17.019
750,22.9451,34.0217,47.8065,23.4078,59.1836,27.9244,19.914,18.8449
765.625,28.3013,28.7415,37.0297,27.4591,36.9454,31.5945,37.559,30.909
781.25,11.7327,14.6105,28.2302,65.6582,50.1262,13.2754,28.9034,20.758
796.875,35.2974,39.6574,50.1193,51.9463,34.708,47.9635,26.9872,39.5231
812.5,43.627,4.3974,4.5035,61.7704,13.694,29.9463,62.3262,31.6616
828.125,41.9848,27.3933,39.3343,59.397,15.472,42.2849,33.0873,32.677
843.75,8.9265,9.6871,52.1491,20.018,52.1491,21.6487,30.4406,34.5901
859.375,59.8398,51.7176,30.3529,51.6313,5.8913,34.9924,58.1608,41.7196
875,35.7105,12.4132,45.805,37.732,35.0939,46.7041,29.4502,51.4426
890.625,48.3425,42.6692,48.0971,53.9664,36.0831,43.3787,56.0775,36.5722
906.25,37.0618,31.8378,42.9604,31.1388,23.4928,57.6133,30.0455,40.2038
921.875,48.758,35.6247,40.9378,58.3427,33.8331,29.5467,57.9764,42.2787
937.5,28.1771,37.2837,60.7614,36.5974,56.8991,51.044,39.4849,48.7585
953.125,66.515,38.1399,45.8087,48.7755,32.5522,42.3153,65.365,49.8058
968.75,48.0416,38.6698,51.3329,57.9906,50.977,59.7781,31.0637,58.8008
