Frequency(Hz),REC0.wav,REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav,REC9.wav,REC10.wav,REC11.wav,REC12.wav,REC13.wav,REC14.wav,REC15.wav,REC16.wav,REC17.wav,REC18.wav,REC19.wav,REC20.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.25,107.3958,99.3189,103.3811,94.2284,69.0915,72.5012,107.8801,105.2035,110.232,116.3749,112.846,110.2843,136.044,82.9938,73.5832,116.9111,102.3653,98.6829,52.1018,35.0135,66.115
46.875,125.6367,84.955,103.141,116.7455,100.3073,68.2619,106.7432,95.6206,92.7848,120.7768,103.0001,103.1682,94.7284,85.2812,69.7599,97.6873,70.9853,77.1587,44.8412,43.7024,49.6445
62.5,118.5154,78.109,112.187,105.4037,73.1377,102.5428,94.1268,103.1691,106.3636,86.8557,93.9956,102.9062,102.6495,67.978,72.0626,87.1979,69.6859,87.8014,37.6112,20.6837,53.1675
78.125,103.9813,99.1075,101.5729,92.0661,84.3003,83.2914,91.8025,88.1537,89.7647,89.9488,94.414,91.7269,85.0023,77.3199,64.3782,101.3994,89.82,63.3835,33.9334,35.5954,56.579
93.75,105.5336,79.509,86.6012,89.9699,66.689,57.4549,89.6077,105.9637,92.516,102.5192,90.1407,99.769,94.308,68.2529,65.7459,85.5581,62.461,69.0163,39.6692,34.2682,29.7376
109.375,90.2936,73.6995,91.5335,89.9101,77.9343,87.2688,89.3131,79.585,78.9159,79.1101,77.0866,69.3888,80.0938,69.7834,48.5463,84.5773,63.4288,64.4487,29.2899,30.1376,53.2144
125,95.3487,63.5928,90.4115,71.8319,62.4012,62.3374,76.0936,66.161,84.6008,69.3136,79.1665,83.5186,73.1612,62.139,63.8706,77.0179,68.5226,65.0482,43.3289,25.1188,37.177
140.625,74.7923,82.1546,78.2429,74.7926,68.121,47.0801,65.2371,78.0206,65.5365,81.9312,74.9126,65.5627,66.108,46.8067,46.0822,66.557,44.5231,45.1972,25.9402,32.944,36.3972
156.25,75.2556,51.5261,48.1363,70.7396,52.8583,56.5596,68.5856,58.814,58.3814,63.0327,57.9629,65.9043,54.0974,55.8068,45.7652,65.5417,58.9931,61.3172,28.6743,10.3765,49.6672
171.875,63.65,52.4555,73.3908,52.6268,46.6002,50.8304,53.6921,69.241,66.1918,45.5876,53.4625,53.2758,67.3631,54.6366,56.7209,44.6856,54.6698,32.6557,22.7665,27.8381,17.7341
187.5,54.5599,40.6235,30.1632,32.6044,49.8196,49.0016,47.63,32.9098,41.8231,61.9424,53.44,46.336,44.6361,33.5015,30.0602,64.9288,34.7345,60.2303,20.1663,25.3542,44.8437
203.125,46.0345,49.8025,58.9151,54.6368,23.4419,34.7043,45.0518,51.7498,44.9207,16.2055,24.157,45.0785,33.5899,38.3429,33.4658,24.6323,26.6297,23.2598,16.1336,7.0091,13.9225
218.75,35.158,19.7986,33.6277,40.9332,59.2995,72.906,27.3257,26.3833,25.2914,47.7748,54.5271,20.2124,41.2181,28.9667,39.9006,34.3911,43.1386,46.5751,20.1526,30.9078,23.6374
234.375,19.8565,41.6452,30.2276,21.0332,15.132,5.4401,37.6339,25.6548,30.0569,13.0324,5.5557,32.4415,13.1504,23.9369,30.1225,22.6589,24.5168,22.7267,23.0155,8.3638,2.8661
250,29.3531,24.4522,25.9501,12.7436,25.3742,22.195,24.7518,22.6668,25.357,16.8698,14.1554,31.5517,20.9294,27.445,19.9285,12.8641,31.1723,22.0995,14.4559,19.9198,35.4745
265.625,18.9426,7.049,5.7556,10.1402,31.2448,28.3374,18.9892,17.9452,5.7465,28.8012,29.4253,16.8388,9.0793,10.8159,15.0178,13.0277,2.4285,7.3076,10.0487,19.8134,24.3239
281.25,2.9611,31.5171,22.6605,12.8918,15.6155,12.6832,13.5001,16.7096,26.6741,18.9151,1.0602,40.4826,25.9794,22.6822,27.0316,12.573,18.0522,27.9379,20.4058,11.6126,8.192
296.875,24.2307,6.4641,19.8242,15.1045,27.7937,38.0772,7.5358,6.2658,33.2531,29.8489,34.4133,16.0173,63.462,2.2995,13.5994,28.3242,19.9749,7.8711,17.954,16.2577,14.2996
