Frequency(Hz),Magnitude
0.000000,0.0000
62.500000,2862.6149
125.000000,485.0578
187.500000,638.2620
250.000000,363.0988
312.500000,333.6891
375.000000,375.7221
437.500000,316.0509
500.000000,461.9510
562.500000,494.6435
625.000000,480.7241
687.500000,252.6417
750.000000,399.5393
812.500000,221.6448
875.000000,299.0082
937.500000,480.8583
1000.000000,55.7381
1062.500000,325.1901
1125.000000,285.2821
1187.500000,246.7700
1250.000000,122.6349
1312.500000,106.0629
1375.000000,175.0233
1437.500000,190.8818
1500.000000,294.6630
1562.500000,204.1022
1625.000000,206.3130
1687.500000,152.0070
1750.000000,219.0732
1812.500000,245.6437
1875.000000,121.3673
1937.500000,58.8088
2000.000000,843.0252
2062.500000,730.7543
2125.000000,349.5363
2187.500000,156.7456
2250.000000,172.2157
2312.500000,209.2208
2375.000000,242.4993
2437.500000,277.5169
2500.000000,466.5898
2562.500000,483.7717
2625.000000,429.7136
2687.500000,475.7490
2750.000000,432.2349
2812.500000,91.3169
2875.000000,215.5453
2937.500000,659.6478
3000.000000,600.7096
3062.500000,361.9076
3125.000000,76.8113
3187.500000,611.5154
3250.000000,926.5153
3312.500000,741.5239
3375.000000,469.7493
3437.500000,505.5761
3500.000000,311.0487
3562.500000,212.8757
3625.000000,491.1013
3687.500000,690.8857
3750.000000,372.7817
3812.500000,217.8727
3875.000000,112.3613
3937.500000,571.2769
