Frequency(Hz),Magnitude
0.000000,0.0000
62.500000,5032.1948
125.000000,28.2982
187.500000,10.8586
250.000000,8.7093
312.500000,1.6583
375.000000,2.7764
437.500000,6.5549
500.000000,6.7685
562.500000,16.6313
625.000000,9.7415
687.500000,49.5559
750.000000,62.6158
812.500000,40.0513
875.000000,17.2803
937.500000,8.4513
1000.000000,7.5359
1062.500000,6.1789
1125.000000,16.0553
1187.500000,39.4379
1250.000000,38.7537
1312.500000,9.0415
1375.000000,5.4412
1437.500000,11.6900
1500.000000,12.0960
1562.500000,3.0020
1625.000000,12.8307
1687.500000,18.2427
1750.000000,15.6325
1812.500000,16.1751
1875.000000,10.5374
1937.500000,5.4054
2000.000000,4.5674
2062.500000,3.5204
2125.000000,3.7225
2187.500000,2.1245
2250.000000,7.1781
2312.500000,6.9254
2375.000000,8.3998
2437.500000,7.8393
2500.000000,6.8686
2562.500000,2.8530
2625.000000,4.3493
2687.500000,4.3380
2750.000000,0.6188
2812.500000,0.3011
2875.000000,4.1178
2937.500000,8.6006
3000.000000,8.7247
3062.500000,6.1884
3125.000000,6.4495
3187.500000,8.8936
3250.000000,6.4123
3312.500000,7.5353
3375.000000,7.9313
3437.500000,6.1379
3500.000000,7.3749
3562.500000,10.1446
3625.000000,5.6229
3687.500000,2.4494
3750.000000,8.3729
3812.500000,8.6338
3875.000000,4.1559
3937.500000,9.3436
