mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,label
-349.37854,52.3824,-8.85816,6.372537,-8.588493,8.792961,2.598988,7.8006825,-0.5505193,9.2172985,10.704021,16.37122,14.983733,3
-363.598,49.06646,-8.634185,10.601698,-9.905052,9.165816,-1.4224683,8.275226,-2.526036,9.91294,8.611097,15.839087,12.197832,3
-350.0728,50.654297,-9.846224,7.089751,-12.943428,7.5655866,0.59718436,9.573232,-2.4268386,9.327165,8.54919,15.922858,12.895616,3
-351.01785,51.905502,-11.019196,2.6293273,-11.636314,6.2319145,3.2459621,8.407377,-1.0093508,8.870161,11.71367,15.629916,14.592668,3
-321.59317,58.797836,-14.974872,-5.4994416,-16.651566,3.752087,4.0515423,5.8118176,-4.005813,9.449664,13.572712,16.375458,14.490077,3
-357.86005,46.33946,-9.266401,10.575332,-11.357005,8.08649,-0.5972582,9.092294,-2.8050072,10.319858,8.997338,16.312798,12.780108,3
-364.85132,52.213703,-7.9956894,9.835501,-9.442406,10.531899,-1.3176142,7.797969,-2.1501136,9.121414,8.265244,16.421427,12.397028,3
-340.61737,54.44123,-10.858201,1.9788073,-12.983988,5.792132,2.7334259,7.8867254,-2.1612134,9.164512,11.877027,16.07991,14.24716,3
-346.90854,49.822357,-9.821689,7.4980683,-14.927134,5.8421836,-0.29448447,8.482782,-3.976202,10.39562,9.037819,17.366085,13.049046,3
-346.26553,50.473427,-13.571482,4.96146,-10.784355,6.336768,0.7966537,6.727912,-5.344624,7.1112294,8.500561,16.32293,12.519408,3
-342.15982,66.50909,-9.069423,-0.5047929,-11.3122425,1.8512652,-0.83916247,5.5394316,2.3967254,9.774381,12.7585,20.091637,17.242626,3
-310.83044,60.145576,-16.219572,-8.332139,-19.288363,2.42907,4.187648,4.90169,-5.7087812,9.398263,14.639605,17.189432,14.737903,3
-328.12018,56.46617,-13.686574,-2.820579,-15.700634,4.5135803,2.899051,5.9970255,-3.5723944,9.479636,13.267912,17.699812,15.289457,3
-337.82654,65.76247,-10.856509,-2.545965,-11.593016,2.8171558,-0.8438076,5.262645,2.8714273,9.906797,12.072726,19.042671,17.266125,3
-354.0204,54.98795,-9.742066,5.460651,-13.169366,7.0741167,0.17970368,9.544872,-2.0788913,8.892969,8.288511,15.554473,12.334688,3
-351.53473,44.750237,-9.2996855,11.084229,-13.030732,7.2167206,-1.3792573,8.490705,-4.2650256,10.860123,9.151951,16.635931,12.300821,3
-327.15103,52.33859,-13.641415,-1.4504503,-21.548813,1.6156036,0.7602542,6.352015,-8.478349,8.618114,11.60086,16.39626,12.514506,3
-348.2403,51.419937,-10.845075,6.3794003,-12.702144,7.3375006,-0.46425748,6.22907,-6.7797046,7.0907326,7.9266677,14.9831085,11.80725,3
-326.22336,57.98476,-13.049355,-2.798394,-15.741625,3.7890332,3.2533526,6.2535934,-3.8685203,9.3153305,13.641276,17.20048,15.190455,3
-341.0361,55.03959,-12.4359455,0.33111903,-11.873551,5.7150917,3.8195305,7.078936,-1.612119,9.489037,12.455792,16.46964,14.833503,3
-356.2536,49.33459,-8.030536,10.524678,-11.575673,8.424063,-1.5069191,7.8458266,-4.0145526,9.918079,8.647862,15.74392,12.323191,3
